,mfcc
743,"[-7.1387500e+02  8.8419548e+01  1.3810229e+01  1.6576591e+01
  3.3022382e+00  1.4181511e+01 -3.0070527e+00  5.4606873e-01
 -8.7359982e+00 -1.8271689e+00 -3.4881589e+00  8.9403266e-01
  5.5898052e-01]"
744,"[-6.7612018e+02  9.7119148e+01  2.9728894e+00  1.4597471e+01
  7.0959983e+00  1.4147184e+01 -4.3734140e+00 -9.3957347e-01
 -9.3687477e+00 -1.9455522e+00 -5.2956443e+00 -8.8891625e-01
  4.9751375e-02]"
745,"[-685.64825     86.19838     10.695882    19.688305     8.969144
   14.338113    -1.0923066   -0.8779115   -8.141844     1.3206654
   -2.0007932   -0.9162368    1.2856838]"
746,"[-6.8989392e+02  8.7618225e+01  1.7609621e+01  1.7195402e+01
  1.9806602e+00  1.5877660e+01 -2.7910769e+00  3.9514325e+00
 -6.3434024e+00  6.5541744e-02 -4.8300700e+00 -2.4128552e-01
  2.1348653e+00]"
747,"[-730.5696       85.36558      20.122267     26.509346      7.315173
   20.796011     -0.94617945    7.3043485    -5.066705      3.428658
   -2.953204      0.8032826     0.91027164]"
748,"[-616.65424     84.14773     -3.4291408   12.348486     5.0943346
   10.235896    -7.896495     3.067676    -5.5337615   -3.3375146
   -9.655668     0.70475     -2.0878742]"
749,"[-576.94354     79.52903     -7.270941    12.477984     1.0807683
    8.015475    -7.366296     1.1849467   -5.739565    -4.4877462
   -8.921099     0.8374417   -1.6086775]"
750,"[-5.7843182e+02  8.0544968e+01 -6.3732071e+00  1.3223052e+01
  3.5171275e+00  1.1291627e+01 -7.1640277e+00 -2.2091417e-01
 -5.2009239e+00 -7.5390239e+00 -1.3733360e+01  1.3176802e+00
 -2.2273436e+00]"
751,"[-560.2779       72.46604      -8.267429     10.574094      2.2525585
    7.226344     -7.3935676    -1.7552488    -7.5571866    -8.357226
  -12.735932     -0.92946714   -2.4505208 ]"
752,"[-356.0614      46.52738    -22.768002     7.8087654  -12.237233
   -1.1244174  -10.341025    -5.0181203   -9.1194515   -3.0290413
   -9.770793    -1.6681507   -1.3664966]"
753,"[-385.45703     76.76894    -12.1557865   15.97795     -2.5959325
    9.186663   -14.649535    -2.279661    -3.964208    -0.9695508
  -10.682013     2.3547997   -1.9348205]"
754,"[-399.991        55.137814    -24.247566      9.6668005   -16.014313
    1.4997764   -10.7334385    -4.351378    -10.799327     -3.1695766
  -12.955104     -0.92073727   -1.0522515 ]"
755,"[-287.46375     47.653286   -36.786777     8.574602   -28.766975
   -7.480242   -14.468846    -6.880099   -14.867536    -2.9569795
  -13.238875    -3.921902    -2.0370586]"
756,"[-674.7997      78.29827      5.212013    14.548226     3.0951633
   13.654237    -3.7073128   -1.493457    -5.4928846    1.221154
   -5.8313065    2.0294979   -0.7166841]"
757,"[-703.88495     75.58847      7.30213     21.290533     3.352989
   16.10154     -2.1674728    3.5397062   -4.548226     4.7057805
   -2.584683     3.1752164    1.0254827]"
758,"[-6.3716351e+02  7.4327675e+01  4.4897285e+00  1.6823065e+01
  2.2629976e+00  1.5056142e+01 -4.3771887e+00  1.3758727e+00
 -5.4405417e+00  1.0352601e+00 -7.3960361e+00  2.5158749e+00
 -1.7192890e-01]"
759,"[-6.3454761e+02  8.0845932e+01  3.7933185e+00  1.6367527e+01
  2.5357213e+00  1.3236425e+01 -2.9739146e+00  9.7766441e-01
 -4.6697021e+00  1.9496400e-02 -7.1815114e+00  4.9871287e+00
  1.9562238e+00]"
760,"[-6.6756604e+02  7.3649521e+01  5.0687971e+00  1.8911446e+01
  8.6809516e-01  1.3346613e+01 -3.9060161e+00  2.0906610e+00
 -5.0436244e+00  2.6732562e+00 -5.7131662e+00  1.7000712e+00
 -5.4945055e-02]"
761,"[-495.68378     55.46379    -10.272222    10.618207    -6.121329
    5.9506273  -10.418873    -4.2869496   -9.927709     1.9162508
   -8.663674    -2.9125798   -3.1937401]"
762,"[-489.32657     57.702774    -5.334155     9.85407     -7.392857
    4.7864223   -9.896544    -4.3603516   -7.3091717   -2.4486778
  -10.517511    -1.9495893   -2.3396404]"
763,"[-6.5303552e+02  7.7803848e+01  3.5819998e+00  1.7690937e+01
  3.4003446e+00  1.5551601e+01 -3.2661448e+00  1.9280488e+00
 -4.4037099e+00  3.1008643e-01 -7.3953023e+00  2.3888574e+00
 -1.6323459e+00]"
764,"[-7.3331866e+02  9.4513763e+01  6.3997798e+00  1.5440854e+01
  8.1503468e+00  1.4807164e+01 -3.2366934e+00  5.6295104e+00
 -4.6183019e+00 -1.8849139e+00 -2.2455986e+00  2.9627044e+00
  7.3091167e-01]"
765,"[-7.3199146e+02  9.3273422e+01  5.1320500e+00  1.6702335e+01
  6.9361305e+00  1.1496151e+01 -4.5725331e+00  6.4076667e+00
 -6.2757711e+00 -7.5073510e-02 -2.3523872e+00  4.0586376e+00
  1.3398046e+00]"
766,"[-719.2279      90.26595     11.204959    17.87463      5.178514
   17.769434    -3.2127001    5.8756814   -6.5756693    1.6049055
   -2.391942     3.8880603    1.1474252]"
767,"[-710.6         86.35697      9.110403    18.485668     1.6081887
   12.406103    -5.520005     2.627407    -7.534698     1.7114452
   -4.6012807    1.3425844    1.2429118]"
768,"[-6.3969385e+02  7.8450493e+01  5.3966894e+00  1.8278137e+01
  2.3113942e+00  1.2869196e+01 -7.5614495e+00  1.1178296e+00
 -6.2988825e+00  1.7745239e+00 -4.0672388e+00  1.3788230e+00
  3.1141803e-01]"
769,"[-614.9157      95.41414      6.1141148   15.6758585    4.7423496
   10.435019    -6.203209     1.6448116  -10.673429    -2.2376814
   -5.719869     1.1382692   -0.8839876]"
770,"[-709.5651       86.21215      18.41373      17.009478      2.4926987
   13.423135     -4.240893      8.1916895    -6.888266      1.9071548
   -5.211713      2.4817955    -0.82621497]"
771,"[-6.6457129e+02  8.9967339e+01  1.0311291e+01  1.3058639e+01
  3.8557796e+00  9.9467268e+00 -4.5699468e+00  2.8158822e+00
 -6.4202600e+00 -2.0895241e-01 -6.1771340e+00  5.2243549e-01
  2.6185603e+00]"
772,"[-609.8536      80.21991     -2.8757904   10.131341    -5.510077
    6.948259    -5.5789537   -2.9280705  -12.994064    -1.8312266
   -7.2172146   -1.2063975   -1.6179521]"
773,"[-682.1597       78.92717      -1.684128     11.592345     -6.0573263
    9.194213     -2.1106937    -0.88359344   -6.5182376    -2.8478312
   -7.5997252    -1.4652385     3.4436095 ]"
774,"[-688.63635     83.20429     -1.2195413   15.628122    -3.0718427
    8.198627    -3.5636113   -0.9912195   -8.484843    -4.871779
   -6.3720155   -1.4913257    1.3344871]"
775,"[-680.5828      72.35689     -5.8819084   13.20395     -4.780963
    5.27769     -4.5689826   -2.199244    -9.31266     -4.5522118
   -5.4511557   -4.5426855    0.6839151]"
776,"[-6.1795282e+02  7.4054108e+01 -5.9655633e+00  1.4578655e+01
 -2.6522062e+00  1.0080863e+01 -6.2281709e+00 -2.1836247e+00
 -8.0075159e+00 -3.7012988e-01 -6.4355230e+00 -3.7997314e-01
  1.7661780e-01]"
777,"[-6.3000696e+02  7.4606499e+01  5.9836950e+00  1.4207649e+01
  3.1290350e+00  1.4602194e+01 -9.6483111e-01  7.7248085e-01
 -6.9909301e+00  2.0315192e+00 -3.7830715e+00  1.0488112e+00
  1.1704273e-01]"
778,"[-5.7750964e+02  7.3197144e+01 -6.3865691e-02  1.2604011e+01
 -3.9730704e+00  1.1900918e+01 -3.7471962e+00 -1.1170570e+00
 -9.8001442e+00 -1.3088466e+00 -8.0098581e+00  1.0731893e+00
 -2.7010660e+00]"
779,"[-5.7158112e+02  7.0809074e+01  4.6822590e-01  1.2145088e+01
 -3.2777522e+00  9.9657841e+00 -3.9029107e+00 -9.2834281e-03
 -8.8980951e+00 -1.1188738e+00 -8.5921564e+00  2.5819623e-01
 -4.2437396e+00]"
780,"[-7.5857904e+02  6.1521046e+01  5.7664065e+00  1.7799017e+01
 -1.2210134e+00  3.3201416e+00 -1.3808354e+01  7.0183992e+00
 -1.3770226e+01  1.3329711e+00 -7.1628261e+00  6.6262835e-01
 -2.9482388e+00]"
781,"[-7.5073981e+02  6.2278614e+01  5.2128596e+00  1.7471128e+01
  1.2137476e-01  3.8432341e+00 -1.0989817e+01  5.9200854e+00
 -1.4093020e+01  3.4354565e+00 -5.3068271e+00  1.2480224e+00
 -3.3640356e+00]"
782,"[-735.3314      60.041374     3.399342    15.330712    -3.1842442
    4.4112554  -10.163517     5.582379   -17.239079     2.5489
   -6.938081     1.4881966   -5.9330864]"
783,"[-7.27739990e+02  6.57084656e+01  3.09376502e+00  1.50915365e+01
 -5.86280537e+00  2.14161468e+00 -1.21627188e+01  6.47471619e+00
 -1.85503674e+01  3.21599150e+00 -7.18399477e+00 -5.66344857e-01
 -5.03114557e+00]"
784,"[-7.0985016e+02  6.2716957e+01  1.3664348e+00  1.3525657e+01
 -3.5566454e+00  1.1121954e+00 -1.6808613e+01  5.5333000e-01
 -1.5249020e+01 -1.1442232e+00 -7.5008092e+00 -5.3888273e+00
 -4.1557117e+00]"
785,"[-773.74335     59.342644     1.2820584   19.19881     -2.30338
    6.172064   -13.463738     6.669924   -14.764765     3.0223396
  -10.159831    -2.0853195   -4.7406015]"
786,"[-7.2058356e+02  4.4155293e+01  5.4767258e-02  1.8607733e+01
 -6.4562416e+00  3.7294333e+00 -1.3332233e+01  2.9686143e+00
 -1.7376757e+01  9.5053136e-01 -9.4276972e+00 -3.9027455e+00
 -6.2288985e+00]"
787,"[-7.2795526e+02  5.2024410e+01  7.4655378e-01  1.8522449e+01
 -4.4781528e+00  4.4409103e+00 -1.4753229e+01  5.5666513e+00
 -1.8114672e+01 -5.2224177e-01 -8.0468960e+00 -4.9889145e+00
 -5.5635605e+00]"
788,"[-7.5842889e+02  6.0879715e+01  7.3790731e+00  1.6466005e+01
 -3.4947915e+00  3.8307800e+00 -1.2423871e+01  5.2106028e+00
 -1.3000624e+01  3.4288689e-01 -5.4313474e+00  3.3251506e-01
 -3.2362185e+00]"
789,"[-7.5278101e+02  5.7420670e+01 -6.8777716e-01  2.0212362e+01
 -4.7104154e+00  7.2340279e+00 -1.7373219e+01  5.2378187e+00
 -1.6371248e+01  4.6152836e-01 -9.9377565e+00 -3.9501460e+00
 -4.5245481e+00]"
790,"[-761.5172      61.77719      5.3817906   17.0116      -9.056689
    6.6598144  -11.962879     5.5321417  -18.007322     2.0398617
   -8.58306      1.1479031   -5.1660995]"
791,"[-721.7113      60.700413     3.2792869   20.031147    -8.073786
    5.405886   -16.446718     6.097246   -21.256554     4.449168
   -8.290769    -3.077757    -5.7515554]"
792,"[-522.86237     59.569546   -27.982191     9.856277    -1.8433716
   -3.9236631  -25.087284     1.6965723  -17.249567    -8.303581
   -1.608844    -9.82278     -8.685383 ]"
793,"[-540.0541       53.221992    -14.449387      3.5934136    -7.265318
    0.61085534  -21.212835      2.2853963   -15.208486     -3.672975
   -3.1527195    -6.1940413    -8.181647  ]"
794,"[-5.89866821e+02  4.85418015e+01 -1.44733095e+01  6.88569212e+00
 -3.98087001e+00 -2.64681190e-01 -1.94662514e+01 -4.35915899e+00
 -2.03641548e+01 -2.20363069e+00 -4.74266005e+00 -8.83200741e+00
 -6.51708937e+00]"
795,"[-597.89856     45.966682   -11.690754     5.519441    -5.788953
    1.6457584  -20.204573     0.6037594  -18.179787    -4.8227787
   -6.8595824   -7.645446    -9.185703 ]"
796,"[-4.4020642e+02  5.3110416e+01 -4.2342411e+01 -4.5900512e+00
 -1.0525873e+01 -8.3541660e+00 -2.9229794e+01 -2.1577130e-01
 -1.3327809e+01 -1.3640729e+01 -9.0524751e-01 -6.3067517e+00
 -1.1944184e+01]"
797,"[-4.5158414e+02  5.2491470e+01 -4.1368839e+01 -1.3927308e+00
 -9.4849081e+00 -7.5847349e+00 -2.6096769e+01  1.8794684e+00
 -1.8629156e+01 -9.8264313e+00 -2.5825790e-01 -1.1152913e+01
 -8.6530056e+00]"
798,"[-430.12726     44.39799    -50.278385    -8.040071    -9.095051
   -6.9061804  -32.796432    -1.2046431  -19.991636   -13.771357
    1.2584264   -9.444615    -9.567155 ]"
799,"[-4.5331827e+02  3.9277042e+01 -3.6689060e+01 -4.9977765e+00
 -8.4888716e+00 -3.9110456e+00 -3.0611578e+01  3.1516793e-01
 -1.8983715e+01 -1.3781983e+01 -3.5933180e+00 -9.2125387e+00
 -8.9800663e+00]"
800,"[-693.9913      72.521675     3.0382538   24.3345       1.3467261
    4.9787364  -14.475092     3.1410215  -17.355614     1.6114814
   -9.420564    -2.4144015   -3.9421647]"
801,"[-692.8993      65.71357      4.5583024   14.70354     -3.754425
    2.671964   -13.666929     2.8606703  -16.666298     1.7722889
   -7.755534    -5.048419    -5.671454 ]"
802,"[-674.77277     56.44214     -1.4831967   20.478403    -3.2867644
    3.1898363  -14.048201     4.2910485  -20.080648     2.0743275
   -5.0593295   -2.5520494   -3.949402 ]"
803,"[-675.47327     62.453102     3.9068937   21.714848    -3.005977
    6.1189957  -12.747281     3.4156485  -19.20839      2.1453187
   -6.884578    -3.5717797   -4.0688453]"
804,"[-6.10476135e+02  6.00711212e+01 -1.14084635e+01  1.24731712e+01
 -6.76309681e+00 -2.43123698e+00 -1.49807358e+01 -3.25143278e-01
 -2.17967014e+01 -2.34836864e+00 -6.06858301e+00 -3.68823719e+00
 -3.72880459e+00]"
805,"[-6.6479242e+02  7.0563133e+01 -1.2128660e+01  1.3761467e+01
 -2.4558315e+00  5.8971381e-01 -1.4013662e+01 -5.5125242e-01
 -1.6892790e+01 -3.9301276e+00 -4.2626925e+00 -9.4023150e-01
 -5.4479761e+00]"
806,"[-607.56116     60.033466    -9.455037     8.300695    -5.2845626
   -5.5703588  -15.9378395   -3.345329   -21.06064     -5.6846957
   -6.679134    -6.04359     -7.355459 ]"
807,"[-5.6477728e+02  6.5534523e+01 -2.2248634e+01  8.4423275e+00
 -3.3039942e+00 -6.6662183e+00 -2.6459244e+01  1.7497389e-01
 -2.5383562e+01 -1.2326202e+01 -2.6915383e+00 -8.9730158e+00
 -1.3288672e+01]"
808,"[-5.9030548e+02  5.2952484e+01 -1.2191930e+01  9.7493982e+00
 -7.6435513e+00 -3.2378495e+00 -1.4793656e+01  3.4907317e+00
 -1.5799308e+01 -3.3296520e-01 -6.9856868e+00 -5.6703582e+00
 -6.7839561e+00]"
809,"[-566.6647      57.000603   -12.439703     8.492163    -7.0665917
   -3.9725432  -17.144423     5.332671   -14.234116    -2.9914265
   -6.895191    -2.0380921   -3.406262 ]"
810,"[-539.2637      51.2821     -15.815652     9.4051285   -5.889083
   -7.874207   -19.902506     3.4964325  -19.485348    -6.09458
   -8.118066    -5.783548    -5.502332 ]"
811,"[-522.58215     52.194546   -15.402212     2.4475906  -11.651736
   -7.85594    -22.541073     3.480766   -22.639935    -6.2858887
  -11.266634    -3.5771954   -8.325128 ]"
812,"[-337.5232      71.878204   -42.192432    -6.793596   -15.526141
  -16.40684    -27.987062     3.9229665  -18.848131   -10.556841
   -6.252626    -5.9582205   -8.630424 ]"
813,"[-354.26944     65.22989    -43.543484    -7.3696437  -17.627798
  -18.743029   -29.873669     4.158354   -20.754793   -10.771855
   -2.1779912   -4.0892215   -6.22349  ]"
814,"[-360.16318      49.98476     -38.75913     -13.299945    -22.091072
  -15.985815    -28.163486      5.090648    -22.458908    -11.75942
   -1.5331818    -4.983689     -0.53018755]"
815,"[-365.15796     60.640152   -33.233955    -0.8424176  -19.297585
  -15.608874   -26.226215     7.2749786  -26.182726   -11.976663
   -6.759632    -9.3654175   -9.518641 ]"
816,"[-712.1016      64.395195    -1.9707838   25.022993     1.7128799
    7.5463395  -12.995663     3.4071684  -18.199781     1.1886747
   -8.963841    -2.66134     -7.54013  ]"
817,"[-658.7541      62.54667    -11.418062    17.9596      -6.057904
    4.9727755  -12.363375     5.384963   -18.349806     2.542352
   -5.4951844   -1.6859639   -6.097597 ]"
818,"[-684.26825     51.829346     2.7607098   15.069861    -2.7311254
    4.9898853  -11.787202     1.1463133  -18.578976     2.5608926
   -7.2467494   -5.5548224   -6.360218 ]"
819,"[-649.46674     51.69333     -5.9008427   10.260087    -1.7802292
    3.057855   -14.64308     -2.1781135  -21.42166      1.0551664
   -5.0659037   -5.1276975   -6.5533466]"
820,"[-4.3334457e+02  3.7144188e+01 -4.2826210e+01 -5.1251488e+00
 -1.4017269e+01 -8.3460102e+00 -2.2710537e+01  8.3951227e-02
 -1.7157490e+01 -1.3283561e+01 -1.4275089e-01 -5.2809706e+00
 -2.7482605e+00]"
821,"[-4.2440958e+02  3.5825615e+01 -3.9717014e+01 -3.6660595e+00
 -9.6979465e+00 -4.2659793e+00 -2.4576767e+01  5.0620145e-01
 -1.4115650e+01 -1.2624294e+01  2.2112356e-01 -4.6348252e+00
 -6.7303033e+00]"
822,"[-495.842        36.83095     -31.911194     -2.819431    -13.11415
   -7.4175124   -23.40821      -0.49804205  -20.308819    -12.431812
   -2.0492845   -10.409364    -13.940729  ]"
823,"[-4.7716400e+02  3.7826843e+01 -3.7429951e+01 -5.1551399e+00
 -1.3628562e+01 -8.5509195e+00 -2.5882183e+01 -3.0126989e+00
 -1.9675924e+01 -1.3447733e+01 -6.4709425e-02 -6.0652480e+00
 -1.1589563e+01]"
824,"[-563.17566      57.191322    -12.5606       13.587026     -9.083895
    3.8130343   -17.246166     -0.72783417  -23.000124     -1.9909962
  -11.277356     -2.4493957    -6.496884  ]"
825,"[-6.4543451e+02  6.3104015e+01 -2.3948047e+00  5.9673271e+00
 -8.8439465e+00  9.4582014e-02 -1.8278395e+01  2.5400159e-01
 -1.9973265e+01 -1.5719055e+00 -8.7133226e+00 -5.0624557e+00
 -4.2404246e+00]"
826,"[-640.986       51.30233      0.7619233   16.181274   -11.62545
    8.10673    -14.729281     5.32928    -17.346748     2.3764527
  -10.849413    -3.5679462   -5.7126813]"
827,"[-5.5580170e+02  6.3811512e+01 -4.4329586e+00  1.1684818e+01
 -1.0546944e+01 -5.3557448e+00 -1.8178017e+01 -2.8741243e-01
 -2.3326265e+01 -5.8538094e+00 -1.0465417e+01 -7.5533924e+00
 -9.3693981e+00]"
828,"[-492.8893      64.33817    -24.738691    10.080229    -8.347507
  -11.375348   -23.982206    -2.5913315  -27.536194    -9.805843
   -6.2409434   -1.9428082   -6.67746  ]"
829,"[-5.82225586e+02  6.27181625e+01 -1.61383934e+01  1.35424328e+01
 -1.05561695e+01 -1.28865361e+00 -1.74672661e+01  3.31329107e-01
 -2.96424656e+01 -3.07653284e+00 -8.27599144e+00 -5.99253893e+00
 -1.73256385e+00]"
830,"[-5.8134583e+02  5.6564182e+01 -3.7737038e+00  1.6429684e+01
 -9.5355072e+00  1.5779994e+00 -1.8518064e+01 -1.2297528e+00
 -2.0982666e+01 -3.1089965e-01 -8.9443731e+00 -4.9228864e+00
 -6.2955127e+00]"
831,"[-5.6730359e+02  5.7995960e+01 -7.0064197e+00  4.4954429e+00
 -1.0674938e+01 -5.2118478e+00 -2.1185932e+01 -2.5021821e-01
 -2.9638092e+01 -5.3551097e+00 -8.9143581e+00 -7.1071148e+00
 -8.7350235e+00]"
832,"[-683.5385      58.469692    -4.3454356    7.732915    -1.5357336
   -3.6260567  -13.46326      3.8288937  -16.12403      2.0036738
   -9.559776    -1.7017289   -7.0674286]"
833,"[-668.76953     56.903008    -5.2548604    4.3461723   -3.9176755
   -1.419332   -15.190403     3.87823    -14.44252      1.5348572
   -8.212253    -1.2417507   -6.323849 ]"
834,"[-6.6437744e+02  4.8059441e+01 -3.2863727e+00  7.8509574e+00
 -3.9117196e+00 -1.1288121e+00 -1.4590177e+01 -2.0013572e-01
 -1.7953287e+01  3.8833120e-01 -7.5343814e+00 -5.1882677e+00
 -6.4352083e+00]"
835,"[-6.4417224e+02  5.0516617e+01 -4.7215066e+00  3.8566029e+00
 -4.9928465e+00 -2.6462345e+00 -1.4044106e+01 -1.1489438e+00
 -1.5556872e+01  6.2152690e-01 -7.9604406e+00 -3.8378642e+00
 -7.2145247e+00]"
836,"[-609.5656      69.43354     -4.0010233    4.495259   -10.0137415
   -2.6749384  -17.63235      8.248964   -15.690296    -3.0585494
   -9.465972    -1.0780283   -9.082856 ]"
837,"[-585.7758      65.7105     -14.146724     0.9389342  -10.6753845
   -3.8459237  -20.706715     2.5654488  -19.920849    -3.6638613
   -7.1657424   -5.759559   -10.122815 ]"
838,"[-582.75305     51.091724    -9.140487     2.9070823  -10.150784
   -1.7517279  -20.996824     2.3333983  -21.357592    -1.1083308
   -9.332406    -4.7785196   -9.007274 ]"
839,"[-589.1224       46.654564     -5.3693953    11.353115     -7.8367324
    1.9771653   -18.235447      3.112684    -19.66068       0.64598775
   -9.136664     -4.684038     -8.55441   ]"
840,"[-641.97534     95.6619       2.550922     9.974262     8.229456
   14.706408    -7.2151046    4.7731686   -1.5973502   -1.5632086
   -2.585955    -0.7277414   -1.1430315]"
841,"[-6.5979468e+02  9.6368095e+01  2.8664932e+00  1.2953783e+01
  1.0173159e+01  1.3976589e+01 -7.4041386e+00  6.9466414e+00
  1.0259439e+00  1.5309173e-01 -1.6629709e+00 -2.6571053e-01
  5.8885294e-01]"
842,"[-6.3957684e+02  9.7855347e+01  6.0646400e+00  1.1751376e+01
  8.0764256e+00  1.7265316e+01 -5.4008150e+00  6.9126105e+00
 -1.0703150e+00  6.6200238e-01 -2.0255961e+00 -9.7603697e-01
  1.7964986e-01]"
843,"[-6.4212524e+02  9.7090439e+01  6.6256213e+00  1.5114841e+01
  8.9246159e+00  1.6613449e+01 -6.5342526e+00  8.5508356e+00
 -1.4539961e+00 -1.8215206e+00 -1.3188081e+00  3.1044158e-01
 -3.9798984e-01]"
844,"[-6.6462646e+02  1.1134207e+02  9.6641045e+00  1.6345987e+01
  8.0943604e+00  1.6016460e+01 -6.3814006e+00  6.1860285e+00
 -3.4207040e-01  3.4451220e+00 -7.9793769e-01 -2.7135807e-01
  6.2846476e-01]"
845,"[-6.5785413e+02  1.0126899e+02  3.7688336e+00  1.7626804e+01
  7.0130291e+00  1.6065632e+01 -6.2662139e+00  7.3361740e+00
 -4.0249062e+00  9.4973886e-01 -1.3134576e-01 -1.7761348e+00
 -1.9558740e-01]"
846,"[-6.1291302e+02  1.0910990e+02  1.6030387e+00  1.8581676e+01
  7.8971944e+00  1.7260479e+01 -5.2075458e+00  8.0130081e+00
 -4.4217153e+00 -4.3218830e-01 -1.1600686e+00 -1.1680986e-01
 -9.6151131e-01]"
847,"[-6.4487524e+02  9.6874519e+01  5.5660114e+00  1.9180677e+01
  4.6177697e+00  1.7533060e+01 -6.0959568e+00  5.5506506e+00
 -9.5881927e-01  1.6965675e-01 -2.7993979e+00 -2.6885395e+00
 -2.3198130e+00]"
848,"[-6.4588184e+02  1.0720889e+02  4.9917374e+00  1.8199961e+01
  4.4514694e+00  1.5751472e+01 -7.8633208e+00  5.4041996e+00
 -3.1125417e+00  2.2906182e+00 -2.6274059e+00 -1.9741634e+00
  7.0463791e-02]"
849,"[-634.7153      109.690186     10.92194      16.935673      8.658186
   14.673975     -7.2107325     7.358639     -2.737997      2.029796
   -2.131039     -1.9406744     0.95164925]"
850,"[-6.08479492e+02  1.20921394e+02  1.43273249e+01  1.98194275e+01
  1.17399921e+01  1.62341595e+01 -6.71604919e+00  6.99662256e+00
 -1.99074948e+00 -5.21924555e-01 -2.95446920e+00 -3.67311478e+00
 -3.01075077e+00]"
851,"[-6.3048285e+02  1.0736307e+02  1.4822156e+00  2.5167559e+01
  4.3065624e+00  1.8230875e+01 -5.3211064e+00  9.7328987e+00
 -7.6705976e+00  2.3021438e+00 -1.0491360e+00 -4.2582354e-01
 -2.8643737e+00]"
852,"[-6.1962421e+02  9.6954391e+01 -2.2393780e+00  4.4050527e+00
  1.3639723e+01  1.3802043e+01 -8.2418795e+00  1.9909062e+00
 -1.0842474e+00 -1.6690893e+00 -5.9548540e+00  2.0756330e+00
  4.1157308e-01]"
853,"[-6.1346686e+02  9.7741501e+01 -1.3122259e-01  8.6764450e+00
  1.2530740e+01  1.4785971e+01 -6.8727818e+00  5.6450667e+00
  8.0264878e-01 -1.1663885e+00 -3.4935665e+00  2.2552814e+00
 -3.7717664e-01]"
854,"[-6.0723669e+02  9.7053970e+01 -1.8462712e-01  5.7273865e+00
  1.4210943e+01  1.7519442e+01 -5.3493648e+00  3.0262997e+00
 -4.0993643e+00 -1.5807626e-01 -4.1689110e+00 -2.0525858e-01
 -9.6018143e-02]"
855,"[-6.07831421e+02  9.54598770e+01 -1.06722558e+00  8.46952629e+00
  1.09889145e+01  1.92747746e+01 -7.46725321e+00  2.95048022e+00
 -2.33781147e+00  2.02037469e-01 -5.39918184e+00  1.41258562e+00
 -1.52783167e+00]"
856,"[-540.0494      81.18689     -6.6830916   17.2126      11.473253
   18.22271     -5.4163737    7.8622327    4.5509334    2.8342729
   -0.8455859    8.621856     0.997515 ]"
857,"[-545.2418      94.94786     -9.234009     6.874165    14.922066
   17.640148    -8.295282     2.6855638    2.413341    -1.714598
   -5.6449833    4.1613717    1.893193 ]"
858,"[-489.0431       92.135414    -10.159313      9.148997     10.62593
   17.300419    -11.949873      1.8676437    -0.91997224   -3.314777
   -6.301315      2.786571     -1.7193502 ]"
859,"[-564.98694     88.47733    -13.663482     8.81898     12.245495
   15.743793   -10.579995     2.7089963   -2.1842325   -1.6061792
   -5.4716086    3.6617796    1.0654937]"
860,"[-621.7073       92.27342       0.64867926   12.352267      9.558497
   17.006851    -10.044611      6.7438555    -1.41541      -1.7712858
   -1.0197611     1.2266762    -1.0979186 ]"
861,"[-670.67224     96.72743      2.7638912   17.460602    10.098347
   21.675886    -7.0716014   11.159762     1.1774963   -2.0326347
    2.4081025    3.3594882    1.1462877]"
862,"[-6.2710425e+02  9.0082626e+01  6.0174610e-02  1.2831947e+01
  9.9593496e+00  1.9425116e+01 -5.5547662e+00  5.2224503e+00
 -1.1754220e+00 -8.5579425e-02 -4.2017359e-01  1.0208379e+00
  1.8682675e-01]"
863,"[-624.1275     103.25039      2.8711667   13.312824     9.606972
   21.501623    -8.365996     8.649035    -4.681183    -1.5973213
   -2.0571764    1.5038133   -0.949234 ]"
864,"[-5.6722870e+02  7.7098335e+01  3.5465660e+00  9.9992609e+00
  1.1926461e+01  1.3695788e+01 -2.1104834e+00  2.8138103e+00
  2.5263872e+00 -2.1496801e+00  8.3629936e-01  9.0196735e-01
  1.8384166e-01]"
865,"[-5.6807147e+02  7.6452110e+01  5.4945087e+00  9.4460735e+00
  1.0008856e+01  1.5814400e+01 -7.9940271e-01  4.2891145e+00
  2.0157275e+00 -5.0897461e-01  1.7921381e-01  3.5651639e+00
  5.1354009e-01]"
866,"[-598.9252      86.67708     -9.8725       9.398948     7.5965853
   18.36805    -10.589519     4.265787    -2.2947962   -4.298872
   -2.3577614    2.2188184   -3.4932876]"
867,"[-5.9991431e+02  9.4216850e+01 -2.8952441e+00  1.3253538e+01
  1.1019123e+01  2.2354946e+01 -3.4354837e+00  5.4750438e+00
 -9.3618906e-01 -2.6820102e-01  5.5156529e-01  4.6507435e+00
 -1.2240535e+00]"
868,"[-534.285       83.505714    -4.599323     9.153355     7.4921336
   12.966974   -10.555879     6.049998     2.1065233   -2.5551727
   -4.2032833    2.0251217   -0.6205397]"
869,"[-512.4188      80.945076    -7.8366184    7.672434     2.2164822
   10.256129   -14.179499     5.5674496    0.6050045   -3.1807117
   -3.6873295    2.1101563   -3.9340658]"
870,"[-5.3319727e+02  9.1501472e+01 -5.0424957e+00  1.0081947e+01
  7.8064218e+00  2.0037638e+01 -1.3740867e+01  8.8302059e+00
  2.3890716e-01  3.3590898e-02 -3.8008528e+00  1.2193259e+00
 -2.8129368e+00]"
